Date,Close/Last,Volume,Open,High,Low
5/19/2023,$149.43 ,1221572,$151.21 ,$152.30 ,$148.45 
5/18/2023,$151.48 ,1667130,$145.46 ,$152.07 ,$144.76 
5/17/2023,$146.00 ,1226158,$146.79 ,$147.55 ,$145.45 
5/16/2023,$146.32 ,1355173,$144.22 ,$146.84 ,$143.04 
5/15/2023,$144.22 ,1502515,$141.87 ,$144.30 ,$141.10 
5/12/2023,$142.53 ,1686952,$146.70 ,$147.08 ,$141.12 
5/11/2023,$147.06 ,1319478,$148.16 ,$149.62 ,$146.62 
5/10/2023,$147.74 ,1715127,$145.00 ,$147.99 ,$143.57 
5/9/2023,$143.70 ,1374035,$143.58 ,$144.84 ,$142.92 
5/8/2023,$144.53 ,1851170,$141.96 ,$146.00 ,$141.96 
5/5/2023,$141.75 ,1234203,$141.32 ,$142.39 ,$139.29 
